design,number of wings ,tail length,wing length,drop number,start time,end time,fall time
1,2,108,81,1,0.7,2.61,1.91
1,2,108,81,2,0.75,2.62,1.87
1,2,108,81,3,7.66,9.56,1.9
2,2,54,108,1,0.94,3.01,2.07
2,2,54,108,2,0.42,2.63,2.21
2,2,54,108,3,0.43,2.9,2.47
3,2,135,27,1,1.55,2.8,1.25
3,2,135,27,2,1.61,2.92,1.31
3,2,135,27,3,9.56,10.84,1.28
4,2,81,135,1,1.37,3.87,2.5
4,2,81,135,2,1.2,3.71,2.51
4,2,81,135,3,13.65,16.35,2.7
5,2,135,108,1,0.53,3.19,2.66
5,2,135,108,2,8.96,11.5,2.54
5,2,135,108,3,17.49,20.17,2.68
6,2,135,135,1,1,3.85,2.85
6,2,135,135,2,0.6,3.1,2.5
6,2,135,135,3,0.5,3.3,2.8
7,2,54,135,1,1.1,3.3,2.2
7,2,54,135,2,10.3,12.6,2.3
7,2,54,135,3,37.35,39.5,2.15
8,2,54,27,1,0.82,2.72,1.9
8,2,54,27,2,1.86,4.27,2.41
8,2,54,27,3,1.02,3.48,2.46
9,2,54,54,1,0.69,2.82,2.13
9,2,54,54,2,0.52,2.06,1.54
9,2,54,54,3,1.96,3.59,1.63
10,2,27,81,1,0.7,3.3,2.6
10,2,27,81,2,0.75,2.9,2.15
10,2,27,81,3,0.3,2.8,2.5
11,2,27,27,1,2.45,4.93,2.48
11,2,27,27,2,1.46,4.82,3.36
11,2,27,27,3,1.2,3.39,2.19
12,2,54,81,1,0.62,3.31,2.69
12,2,54,81,2,0.6,3.01,2.41
12,2,54,81,3,0.37,2.8,2.43
13,2,81,27,1,0.43,1.9,1.47
13,2,81,27,2,0.63,2.1,1.47
13,2,81,27,3,0.44,2.09,1.65
14,2,108,135,1,0.39,2.5,2.11
14,2,108,135,2,0.48,3.63,3.15
14,2,108,135,3,0.46,3.62,3.16
15,2,81,108,1,1.44,4.06,2.62
15,2,81,108,2,0.78,3.29,2.51
15,2,81,108,3,0.24,2.65,2.41
16,2,135,81,1,0.73,2.56,1.83
16,2,135,81,2,0.85,2.72,1.87
16,2,135,81,3,9.32,11.31,1.99
17,2,108,27,1,2.65,3.9,1.25
17,2,108,27,2,11.52,12.83,1.31
17,2,108,27,3,19.03,20.58,1.55
18,2,108,54,1,0.86,2.64,1.78
18,2,108,54,2,9.23,10.72,1.49
18,2,108,54,3,18.84,20.36,1.52
19,2,27,54,1,2.84,4.32,1.48
19,2,27,54,2,11.11,12.53,1.42
19,2,27,54,3,2.99,4.58,1.59
20,2,108,108,1,0.49,3.19,2.7
20,2,108,108,2,0.28,2.76,2.48
